Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE,Portfolio Value
2017-06-27,1437.4,2097.8,336.5,880.5,1220.0,531.5999999999999,496.8,1181.4,1522.4,272.1,9976.500000000002
2017-06-28,1458.3000000000002,2106.2,342.0,898.1999999999999,1234.7,543.3,506.0,1189.3000000000002,1532.3,270.79999999999995,10081.099999999999
2017-06-29,1436.8000000000002,2078.5,335.4,911.5,1219.1,557.8,510.09999999999997,1170.8,1521.6,270.2,10011.800000000001
2017-06-30,1440.2,2081.9,337.40000000000003,914.0,1235.9,554.0999999999999,510.20000000000005,1174.5,1534.0,270.1,10052.300000000001
2017-07-03,1435.0,2098.3,334.6,927.5,1249.5,557.8,518.3,1169.0,1540.1,274.5,10104.6
2017-07-05,1440.9,2097.6,343.40000000000003,936.8000000000001,1256.0,557.8,522.7,1185.4,1526.9,273.5,10141.0
2017-07-06,1427.3,2080.2000000000003,336.3,933.8,1250.9,555.6,512.3,1183.5,1520.5,263.09999999999997,10063.500000000002
2017-07-07,1441.8000000000002,2095.9,338.8,938.5,1266.4,557.4,517.5,1179.0,1522.3,261.5,10119.099999999999
2017-07-10,1450.6,2104.9,336.5,931.9,1281.3999999999999,555.9000000000001,518.8000000000001,1181.6,1511.8000000000002,260.4,10133.799999999997
2017-07-11,1455.3,2096.6,339.20000000000005,928.3,1280.6,550.4,514.7,1172.1,1506.0,263.8,10107.0
2017-07-12,1457.4,2113.0,342.5,925.1,1234.8,551.7,514.5,1182.3,1525.9,265.79999999999995,10112.999999999998
2017-07-13,1477.7,2110.9,342.40000000000003,931.0,1244.2,556.0,520.6,1175.1000000000001,1532.8999999999999,267.9,10158.7
2017-07-14,1490.3999999999999,2117.7000000000003,346.8,922.5,1254.7,549.9,523.6,1191.3,1528.8,267.8,10193.5
2017-07-17,1495.6,2116.8,344.7,913.9,1258.8,547.1,533.5,1190.0,1538.8999999999999,268.2,10207.5
2017-07-18,1500.8000000000002,2113.1,345.3,910.6999999999999,1260.9,548.0,535.3,1196.4,1521.6999999999998,268.9,10201.1
2017-07-19,1510.2,2121.0,345.6,912.0,1263.1,549.4,530.6,1216.2,1533.0,269.40000000000003,10250.499999999998
2017-07-20,1503.4,2124.5,347.5,912.0,1256.0,548.8000000000001,539.0999999999999,1198.6,1470.3,266.90000000000003,10167.099999999999
2017-07-21,1502.7,2111.6,347.29999999999995,908.9,1257.5,541.7,533.6,1195.8,1466.5,259.1,10124.7
2017-07-24,1520.9,2100.0,345.0,912.8,1265.5,542.7,534.7,1188.9,1445.8000000000002,254.3,10110.599999999999
